customer_id,name,email,phone,gender,city,state,country,registration_date,customer_segment,tenure_days
C0001,Anay Shanker,nirvaan32@example.net,918196001338,Male,Nagpur,Maharashtra,India,2021-09-08,New,845
C0002,Jhanvi Chaudhary,cchoudhary@example.net,265423511,Male,Hyderabad,Telangana,India,2022-08-28,Regular,491
C0003,Divit Gola,lavanya40@example.net,8161849593,Male,Mysuru,Karnataka,India,2021-08-27,Regular,857
C0004,Azad Sahota,trishadhillon@example.org,911647525534,Male,Warangal,Telangana,India,2022-10-28,Regular,430
C0005,Mahika Ravi,hazelsethi@example.org,917648350305,Female,Janakpuri,Delhi,India,2022-08-27,New,492
C0006,Priyansh Bali,jiyavora@example.net,3767242388,Male,Salem,Tamil Nadu,India,2021-12-15,New,747
C0007,Siya Master,lyadav@example.com,3287101226,Male,Kolkata,West Bengal,India,2021-04-05,New,1001
C0008,Veer Halder,qlalla@example.net,911845146270,Female,Siliguri,West Bengal,India,2021-09-28,Premium,825
C0009,Damini Singh,dishanibera@example.net,8932528809,Female,Hyderabad,Telangana,India,2022-01-23,New,708
C0010,Ayesha Andra,gollazara@example.com,910391171822,Female,Gwalior,Madhya Pradesh,India,2022-08-15,New,504
C0011,Ira Butala,eva96@example.org,3465787133,Male,Pune,Maharashtra,India,2021-10-24,Premium,799
C0012,Shayak Anne,khushichoudhary@example.org,910310518347,Male,Hubballi,Karnataka,India,2021-10-12,Regular,811
C0013,Hrishita Bhatti,ydara@example.com,3116566701,Female,Madurai,Tamil Nadu,India,2021-12-30,New,732
C0014,Yuvaan Seth,yasmin13@example.org,918726247317,Female,Belagavi,Karnataka,India,2022-10-13,New,445
C0015,Badal Sachdev,batrasuhana@example.org,916773602606,Male,Salem,Tamil Nadu,India,2022-01-24,New,707
C0016,Vardaniya Srinivasan,bdhar@example.net,8723430980,Male,Kolkata,West Bengal,India,2021-08-23,Premium,861
C0017,Bhavin Bakshi,hkrishnamurthy@example.org,918121913619,Female,Udaipur,Rajasthan,India,2021-03-09,New,1028
C0018,Kavya Rajan,raodhanush@example.com,9985435346,Female,Janakpuri,Delhi,India,2022-02-10,Premium,690
C0019,Oorja Roy,amira51@example.org,9911838425,Female,Madurai,Tamil Nadu,India,2021-05-23,New,953
C0020,Nirvaan Goyal,indranil78@example.net,9808412411,Female,Jabalpur,Madhya Pradesh,India,2022-08-21,New,498
C0021,Purab Dhaliwal,saanvigarg@example.org,4874016400,Male,Tiruchirappalli,Tamil Nadu,India,2022-05-21,New,590
C0022,Trisha Bhattacharyya,ishaan78@example.net,8011280598,Male,Mysuru,Karnataka,India,2022-10-05,New,453
C0023,Adah Bhatt,dubetejas@example.org,3315869232,Female,Bhopal,Madhya Pradesh,India,2022-01-30,New,701
C0024,Zain Arora,saraganesan@example.com,3421607337,Female,Nizamabad,Telangana,India,2022-07-21,Premium,529
C0025,Ryan Tara,mamootyarora@example.net,916541458685,Male,Belagavi,Karnataka,India,2021-10-01,Regular,822
C0026,Farhan Vyas,jayesh94@example.org,919655698169,Female,Mangaluru,Karnataka,India,2022-03-22,New,650
C0027,Onkar Bains,hacharya@example.net,3561595148,Male,Noida,Uttar Pradesh,India,2021-07-02,Regular,913
C0028,Nitya Jayaraman,yuvaan48@example.org,916629946804,Male,Noida,Uttar Pradesh,India,2022-09-16,New,472
C0029,Lakshay Kale,anahita77@example.net,918721489513,Female,Tiruchirappalli,Tamil Nadu,India,2022-06-28,Premium,552
C0030,Mamooty Swaminathan,hunararora@example.org,917917693676,Female,Ahmedabad,Gujarat,India,2021-04-25,Premium,981
C0031,Hunar Sagar,warriorsuhana@example.org,3287083172,Female,New Delhi,Delhi,India,2021-09-04,Premium,849
C0032,Nitya Lanka,tanya79@example.net,6872774348,Male,Hubballi,Karnataka,India,2021-03-12,Premium,1025
C0033,Mishti Dar,advika14@example.org,5581223623,Male,Salem,Tamil Nadu,India,2022-07-17,New,533
C0034,Zeeshan Jani,hrishita76@example.org,916690967054,Female,Saket,Delhi,India,2022-12-08,New,389
C0035,Aaina Luthra,aradhyachoudhary@example.com,7065627298,Female,Udaipur,Rajasthan,India,2022-03-25,Premium,647
C0036,Vihaan Rajagopalan,barmannayantara@example.com,917204653755,Female,Mysuru,Karnataka,India,2021-08-19,New,865
C0037,Ranbir Shetty,fdate@example.com,918053100330,Male,Ujjain,Madhya Pradesh,India,2021-08-24,Regular,860
C0038,Nakul Bhatnagar,hsami@example.net,917452991241,Male,Bengaluru,Karnataka,India,2021-08-23,New,861
C0039,Sahil Mani,tissac@example.org,919314919058,Male,Kolkata,West Bengal,India,2022-06-11,New,569
C0040,Nitara Goyal,kulkarnineelofar@example.com,916716572628,Female,Saket,Delhi,India,2021-05-16,Regular,960
C0041,Mannat Swamy,bkaul@example.net,4531473799,Female,Janakpuri,Delhi,India,2022-02-21,New,679
C0042,Shayak Atwal,uvarghese@example.org,3545494808,Male,Udaipur,Rajasthan,India,2022-03-10,Regular,662
C0043,Dharmajan Dara,jkonda@example.org,7770143634,Male,Bengaluru,Karnataka,India,2022-02-17,Regular,683
C0044,Anika Malhotra,aarna85@example.com,7444313518,Male,Dwarka,Delhi,India,2021-07-14,Regular,901
C0045,Kartik Chokshi,udevi@example.net,9413435240,Male,Jodhpur,Rajasthan,India,2021-10-13,Regular,810
C0046,Raghav Bajaj,malhotrariaan@example.net,917109477752,Male,Gandhinagar,Gujarat,India,2021-04-11,New,995
C0047,Ojas Venkataraman,ebhandari@example.com,1902294131,Male,Mysuru,Karnataka,India,2021-06-20,Regular,925
C0048,Mahika Raju,urvilal@example.com,7496499091,Female,Janakpuri,Delhi,India,2021-03-02,New,1035
C0049,Mishti Cherian,nitara12@example.org,918120679740,Male,Udaipur,Rajasthan,India,2022-04-11,New,630
C0050,Reyansh Sastry,rati71@example.net,914936183242,Female,Coimbatore,Tamil Nadu,India,2021-10-31,New,792
C0051,Biju Butala,kimaya94@example.com,917464887719,Male,Ujjain,Madhya Pradesh,India,2021-03-04,Regular,1033
